AREA_NAME,Bachelor Leased,bachelor_avg_lease_rate,1_bedrooms_leased,1_bed_room_avg_lease_rate,2_bedrooms_leased,2_bedrooms_avg_lease_rate,3_bedrooms_leased,3_bedrooms_avg_lease_rate,area_sq_meters,perimeter_meters,park_count,ASSAULT_RATE,AUTOTHEFT_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTOVER_RATE,POPULATION,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count,YEAR,avg_rent_1br,rent_lag_1,rent_lag_2,rent_growth_rate,TARGET_RENT_5YR
Agincourt North,0.3333333333333333,945.0,8.666666666666666,1113.3333333333333,16.333333333333332,1407.0,2.0,1483.5,0.0008125087712081,0.1344575932789796,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2010,1113.3333333333333,,,,1342.25
Agincourt North,0.0,,35.333333333333336,1224.6666666666667,39.666666666666664,1424.6666666666667,9.0,1618.0,0.0008125087712081,0.1344575932789796,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2011,1224.6666666666667,1113.3333333333333,,10.000000000000014,1492.1666666666667
Agincourt North,0.0,,21.0,1272.75,29.5,1451.25,3.5,1546.25,0.0008125087712081,0.1344575932789796,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2012,1272.75,1224.6666666666667,1113.3333333333333,3.92623843222645,1644.8333333333333
Agincourt North,0.0,0.0,133.0,1318.25,179.0,1484.25,12.0,1650.3333333333333,0.0008125087712081,0.1344575932789796,10.0,,,,,,,,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2013,1318.25,1272.75,1224.6666666666667,3.5749361618542523,1801.6666666666667
Agincourt North,0.0,0.0,135.0,1301.5,157.0,1518.5,10.0,1684.25,0.0008125087712081,0.1344575932789796,10.0,221.209716796875,56.1278381347656,3.30163764953613,118.858955383301,,3.30163764953613,,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2014,1301.5,1318.25,1272.75,-1.2706239332448321,1868.265625
Agincourt North,0.0,,110.0,1342.25,134.0,1547.5,9.0,1722.0,0.0008125087712081,0.1344575932789796,10.0,257.275543212891,96.8959884643555,,123.625915527344,,20.0474452972412,,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2015,1342.25,1301.5,1318.25,3.1310026892047635,1821.4798206278024
Agincourt North,,,25.0,,,1749.0,,,0.0008125087712081,0.1344575932789796,10.0,274.091644287109,60.1664619445801,,50.1387176513672,3.34258103370667,16.7129058837891,,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2016,1492.1666666666667,1342.25,1301.5,11.169056931768802,1893.1666666666667
Agincourt North,,,20.0,,,1883.0,,,0.0008125087712081,0.1344575932789796,10.0,252.993759155273,111.317253112793,,74.2115020751953,3.37325000762939,37.1057510375977,0.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2017,1644.8333333333333,1492.1666666666667,1342.25,10.231207416508422,1823.3333333333333
Agincourt North,,,20.0,,,1883.0,,,0.0008125087712081,0.1344575932789796,10.0,252.993759155273,111.317253112793,,74.2115020751953,3.37325000762939,37.1057510375977,0.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2017,1644.8333333333333,1644.8333333333333,1492.1666666666667,0.0,1823.3333333333333
Agincourt North,,,28.0,,,2089.0,,,0.0008125087712081,0.1344575932789796,10.0,272.025573730469,142.813430786133,,149.614059448242,,13.6012783050537,,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2018,1801.6666666666667,1644.8333333333333,1644.8333333333333,9.534907285439264,2464.5
Agincourt North,0.0,,128.0,1868.265625,129.0,2213.3565891472867,8.0,2282.0,0.0008125087712081,0.1344575932789796,10.0,277.920745849609,144.107055664063,,126.951446533203,6.86224031448364,10.293360710144,0.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2019,1868.265625,1801.6666666666667,1644.8333333333333,3.69651942645698,2220.0
Agincourt North,0.0,0.0,223.0,1821.4798206278024,198.0,2224.464646464646,13.0,2475.3076923076924,0.0008125087712081,0.1344575932789796,10.0,255.586639404297,217.594024658203,,58.7158508300781,6.90774726867676,17.2693672180176,0.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2020,1821.4798206278024,1868.265625,1801.6666666666667,-2.504237285434057,
Agincourt North,,0.0,41.0,,,2408.0,,,0.0008125087712081,0.1344575932789796,10.0,213.881607055664,179.384567260742,,24.1479225158691,,6.89940643310547,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2021,1893.1666666666667,1821.4798206278024,1868.265625,3.935637673666697,
