AREA_NAME,YEAR,avg_rent_1br,POPULATION,ASSAULT_RATE,AUTOTHEFT_RATE,BIKETHEFT_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTFROMMV_RATE,THEFTOVER_RATE,park_count,transit_line_density,total_stop_count,BREAKENTER_RATE,TARGET_RENT_5YR,rent_lag_1,rent_lag_2,rent_growth_rate
Agincourt North,2010,1113.3333333333333,30426.0,221.209716796875,56.1278381347656,13.2065505981445,3.30163764953613,118.858955383301,3.34258103370667,208.003173828125,3.30163764953613,10.0,1.7538471118789638,81.0,81.9140548706055,1342.25,,,
Agincourt North,2011,1224.6666666666667,30426.0,221.209716796875,56.1278381347656,13.2065505981445,3.30163764953613,118.858955383301,3.34258103370667,208.003173828125,3.30163764953613,10.0,1.7538471118789638,81.0,81.9140548706055,1416.5,1113.3333333333333,,0.10000000000000014
Agincourt North,2012,1272.75,30426.0,221.209716796875,56.1278381347656,13.2065505981445,3.30163764953613,118.858955383301,3.34258103370667,208.003173828125,3.30163764953613,10.0,1.7538471118789638,81.0,81.9140548706055,1570.25,1224.6666666666667,1113.3333333333333,0.0392623843222645
Agincourt North,2013,1318.25,30426.0,221.209716796875,56.1278381347656,13.2065505981445,3.30163764953613,118.858955383301,3.34258103370667,208.003173828125,3.30163764953613,10.0,1.7538471118789638,81.0,81.9140548706055,1737.0,1272.75,1224.6666666666667,0.03574936161854252
Agincourt North,2014,1301.5,30426.0,221.209716796875,56.1278381347656,13.2065505981445,3.30163764953613,118.858955383301,3.34258103370667,208.003173828125,3.30163764953613,10.0,1.7538471118789638,81.0,81.9140548706055,,1318.25,1272.75,-0.012706239332448322
Agincourt North,2015,1342.25,30426.0,257.275543212891,96.8959884643555,23.3886871337891,3.30163764953613,123.625915527344,3.34258103370667,157.038330078125,20.0474452972412,10.0,1.7538471118789638,81.0,81.9140548706055,,1301.5,1318.25,0.031310026892047635
Agincourt North,2016,1416.5,30426.0,274.091644287109,60.1664619445801,6.68516206741333,3.30163764953613,50.1387176513672,3.34258103370667,160.443893432617,16.7129058837891,10.0,1.7538471118789638,81.0,81.9140548706055,,1342.25,1301.5,0.05531756379214006
Agincourt North,2017,1570.25,30426.0,252.993759155273,111.317253112793,6.68516206741333,3.30163764953613,74.2115020751953,3.37325000762939,323.832000732422,37.1057510375977,10.0,1.7538471118789638,81.0,81.9140548706055,2139.75,1416.5,1342.25,0.10854218143310977
Agincourt North,2018,1737.0,30426.0,272.025573730469,142.813430786133,3.40031957626343,3.30163764953613,149.614059448242,3.37325000762939,234.622055053711,13.6012783050537,10.0,1.7538471118789638,81.0,81.9140548706055,2380.75,1570.25,1416.5,0.10619328132462984
Agincourt North,2022,2139.75,30426.0,266.220703125,167.241195678711,3.40031957626343,3.30163764953613,37.5439453125,3.41308569908142,153.5888671875,10.2392568588257,10.0,1.7538471118789638,81.0,81.9140548706055,,1737.0,1570.25,0.23186528497409326
Agincourt North,2023,2380.75,30426.0,270.877380371094,412.922821044922,13.2135305404663,3.30163764953613,46.2473564147949,3.30338263511658,99.1014785766602,16.5169124603271,10.0,1.7538471118789638,81.0,145.348831176758,,2139.75,1737.0,0.11262998013786657
Agincourt North,2024,2220.0,30426.0,243.213043212891,420.692840576172,16.433313369751,6.57332563400269,141.32649230957,23.0066394805908,141.32649230957,36.1532897949219,10.0,1.7538471118789638,81.0,145.348831176758,,2380.75,2139.75,-0.06752073926283735
Agincourt South-Malvern West,2010,1113.3333333333333,29799.0,439.764892578125,139.540786743164,4.22850847244263,4.02787303924561,109.941223144531,8.16860008239746,363.651733398438,80.341667175293,15.0,1.9710427512255353,119.0,197.650573730469,1342.25,,,
Agincourt South-Malvern West,2011,1224.6666666666667,29799.0,439.764892578125,139.540786743164,4.22850847244263,4.02787303924561,109.941223144531,8.16860008239746,363.651733398438,80.341667175293,15.0,1.9710427512255353,119.0,197.650573730469,1416.5,1113.3333333333333,,0.10000000000000014
