rank,model_type,cv_strategy,mean_f1_macro,std_f1_macro,mean_train_f1,fit_time_seconds,params
1,GradientBoosting,StratifiedKFold,0.74,0.0327,0.9477,5.606,"{""subsample"": 1.0, ""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_depth"": 5, ""learning_rate"": 0.1}"
2,GradientBoosting,StratifiedKFold,0.7351,0.0311,0.9476,3.604,"{""subsample"": 0.7, ""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_depth"": 4, ""learning_rate"": 0.1}"
3,RandomForest,StratifiedKFold,0.7339,0.0315,0.8529,1.66,"{""n_estimators"": 500, ""min_samples_split"": 5, ""min_samples_leaf"": 3, ""max_features"": 0.5, ""max_depth"": 10, ""class_weight"": ""balanced_subsample""}"
4,GradientBoosting,StratifiedKFold,0.7329,0.0202,0.9477,11.814,"{""subsample"": 0.7, ""n_estimators"": 700, ""min_samples_leaf"": 5, ""max_depth"": 6, ""learning_rate"": 0.05}"
5,XGBoost,StratifiedKFold,0.7324,0.0247,0.8813,2.474,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.1, ""n_estimators"": 300, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.01, ""colsample_bytree"": 0.8}"
6,GradientBoosting,StratifiedKFold,0.7315,0.0344,0.9477,5.068,"{""subsample"": 0.9, ""n_estimators"": 300, ""min_samples_leaf"": 8, ""max_depth"": 5, ""learning_rate"": 0.1}"
7,GradientBoosting,StratifiedKFold,0.7306,0.0333,0.9477,7.772,"{""subsample"": 0.9, ""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_depth"": 8, ""learning_rate"": 0.1}"
8,GradientBoosting,StratifiedKFold,0.7301,0.0302,0.9477,8.385,"{""subsample"": 0.9, ""n_estimators"": 500, ""min_samples_leaf"": 8, ""max_depth"": 5, ""learning_rate"": 0.1}"
9,GradientBoosting,StratifiedKFold,0.7292,0.0324,0.9382,3.429,"{""subsample"": 0.9, ""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_depth"": 5, ""learning_rate"": 0.03}"
10,XGBoost,StratifiedKFold,0.7289,0.0276,0.9433,2.327,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 300, ""min_child_weight"": 7, ""max_depth"": 6, ""learning_rate"": 0.1, ""colsample_bytree"": 0.8}"
11,RandomForest,StratifiedKFold,0.7282,0.0278,0.8421,0.634,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 3, ""max_features"": ""log2"", ""max_depth"": null, ""class_weight"": ""balanced_subsample""}"
12,GradientBoosting,StratifiedKFold,0.7279,0.0316,0.9251,5.385,"{""subsample"": 0.9, ""n_estimators"": 500, ""min_samples_leaf"": 3, ""max_depth"": 3, ""learning_rate"": 0.03}"
13,XGBoost,StratifiedKFold,0.7277,0.0244,0.9376,2.399,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 6, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
14,XGBoost,StratifiedKFold,0.7237,0.0346,0.8643,1.712,"{""subsample"": 0.8, ""reg_lambda"": 2.0, ""reg_alpha"": 0.5, ""n_estimators"": 300, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.03, ""colsample_bytree"": 0.6}"
15,GradientBoosting,StratifiedKFold,0.7232,0.0313,0.8646,6.297,"{""subsample"": 0.8, ""n_estimators"": 500, ""min_samples_leaf"": 12, ""max_depth"": 4, ""learning_rate"": 0.01}"
16,XGBoost,StratifiedKFold,0.7222,0.0288,0.9415,2.159,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.5, ""n_estimators"": 500, ""min_child_weight"": 3, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 0.6}"
17,XGBoost,StratifiedKFold,0.7212,0.0247,0.9438,1.699,"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""reg_alpha"": 0.0, ""n_estimators"": 300, ""min_child_weight"": 3, ""max_depth"": 4, ""learning_rate"": 0.1, ""colsample_bytree"": 0.7}"
18,XGBoost,StratifiedKFold,0.7192,0.0352,0.9376,2.126,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.01, ""n_estimators"": 500, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 0.6}"
