AREA_NAME,1_bedrooms_leased,2_bedrooms_avg_lease_rate,area_sq_meters,perimeter_meters,park_count,ASSAULT_RATE,AUTOTHEFT_RATE,ROBBERY_RATE,THEFTOVER_RATE,POPULATION,total_stop_count,avg_stop_frequency,max_stop_frequency,total_line_length_meters,transit_line_density,distinct_route_count,YEAR,avg_rent_1br,rent_lag_1,rent_lag_2,rent_growth_rate,TARGET_RENT_5YR,is_missing_THEFTOVER_RATE,is_missing_ROBBERY_RATE,is_missing_AUTOTHEFT_RATE,years_since_baseline
Agincourt North,135.0,1518.5,0.0008125087712081,0.1344575932789796,10.0,221.209716796875,56.1278381347656,118.858955383301,3.30163764953613,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2014,1301.5,1318.25,1272.75,-1.270623933244832,1868.265625,0,0,0,0
Agincourt North,110.0,1547.5,0.0008125087712081,0.1344575932789796,10.0,257.275543212891,96.8959884643555,123.625915527344,20.0474452972412,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2015,1342.25,1301.5,1318.25,3.1310026892047635,1821.4798206278024,0,0,0,1
Agincourt North,25.0,1749.0,0.0008125087712081,0.1344575932789796,10.0,274.091644287109,60.1664619445801,50.1387176513672,16.7129058837891,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2016,1492.1666666666667,1342.25,1301.5,11.169056931768802,1893.1666666666667,0,0,0,2
Agincourt North,20.0,1883.0,0.0008125087712081,0.1344575932789796,10.0,252.993759155273,111.317253112793,74.2115020751953,37.1057510375977,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2017,1644.8333333333333,1492.1666666666667,1342.25,10.231207416508422,1823.3333333333333,0,0,0,3
Agincourt North,20.0,1883.0,0.0008125087712081,0.1344575932789796,10.0,252.993759155273,111.317253112793,74.2115020751953,37.1057510375977,30426.0,81.0,289.34567901234567,807.0,1.7552721280407235,1.7538471118789638,10.0,2017,1644.8333333333333,1644.8333333333333,1492.1666666666667,0.0,1823.3333333333333,0,0,0,3
Agincourt South-Malvern West,135.0,1518.5,0.0008806315876002,0.1661700776506951,15.0,439.764892578125,139.540786743164,109.941223144531,80.341667175293,29799.0,119.0,348.3193277310924,1117.0,1.972778513732775,1.9710427512255353,19.0,2014,1301.5,1318.25,1272.75,-1.270623933244832,1868.265625,0,0,0,0
Agincourt South-Malvern West,110.0,1547.5,0.0008806315876002,0.1661700776506951,15.0,430.836151123047,121.303382873535,100.389007568359,37.6458778381348,29799.0,119.0,348.3193277310924,1117.0,1.972778513732775,1.9710427512255353,19.0,2015,1342.25,1301.5,1318.25,3.1310026892047635,1821.4798206278024,0,0,0,1
Agincourt South-Malvern West,25.0,1749.0,0.0008806315876002,0.1661700776506951,15.0,530.958984375,110.276100158691,85.7703018188477,49.0116004943848,29799.0,119.0,348.3193277310924,1117.0,1.972778513732775,1.9710427512255353,19.0,2016,1492.1666666666667,1342.25,1301.5,11.169056931768802,1893.1666666666667,0,0,0,2
Agincourt South-Malvern West,20.0,1883.0,0.0008806315876002,0.1661700776506951,15.0,449.993927001953,141.88996887207,137.835968017578,56.755989074707,29799.0,119.0,348.3193277310924,1117.0,1.972778513732775,1.9710427512255353,19.0,2017,1644.8333333333333,1492.1666666666667,1342.25,10.231207416508422,1823.3333333333333,0,0,0,3
Agincourt South-Malvern West,20.0,1883.0,0.0008806315876002,0.1661700776506951,15.0,449.993927001953,141.88996887207,137.835968017578,56.755989074707,29799.0,119.0,348.3193277310924,1117.0,1.972778513732775,1.9710427512255353,19.0,2017,1644.8333333333333,1644.8333333333333,1492.1666666666667,0.0,1823.3333333333333,0,0,0,3
Alderwood,434.0,2223.0,0.0005552477130279,0.0985688755681679,12.0,355.010498046875,72.6157836914063,64.54736328125,56.4789428710938,13746.0,54.0,255.57407407407408,714.0,0.5341971055439098,0.5339006584243355,4.0,2014,1540.5,1529.75,1520.5,0.70272920411832,2138.373134328358,0,0,0,0
Alderwood,825.0,2050.75,0.0005552477130279,0.0985688755681679,12.0,379.890075683594,145.489822387695,48.4966049194336,24.2483024597168,13746.0,54.0,255.57407407407408,714.0,0.5341971055439098,0.5339006584243355,4.0,2015,1493.0,1540.5,1529.75,-3.083414475819539,2104.733804475854,0,0,0,1
Alderwood,106.0,2461.0,0.0005552477130279,0.0985688755681679,12.0,314.212066650391,136.964233398438,80.5671920776367,80.5671920776367,13746.0,54.0,255.57407407407408,714.0,0.5341971055439098,0.5339006584243355,4.0,2016,2134.0,1493.0,1540.5,42.93369055592766,2680.1666666666665,0,0,0,2
Alderwood,113.0,2642.0,0.0005552477130279,0.0985688755681679,12.0,167.544281005859,127.652786254883,47.8697929382324,55.8480949401855,13746.0,54.0,255.57407407407408,714.0,0.5341971055439098,0.5339006584243355,4.0,2017,2141.1666666666665,2134.0,1493.0,0.3358325523273905,2910.8333333333335,0,0,0,3
